station_id,t,value
0,720,720.0
1,720,0.0
2,720,0.0
3,720,0.0
4,720,0.0
5,720,0.0
6,720,0.0
7,720,0.0
8,720,0.0
9,720,0.0
10,720,0.0
11,720,0.0
12,720,0.0
13,720,0.0
14,720,0.0
15,720,0.0
16,720,0.0
17,720,0.0
18,720,0.0
19,720,0.0
20,720,0.0
21,720,0.0
22,720,0.0
23,720,0.0
24,720,0.0
25,720,0.0
26,720,0.0
27,720,0.0
28,720,0.0
29,720,0.0
30,720,0.0
31,720,0.0
32,720,0.0
33,720,0.0
34,720,0.0
35,720,0.0
36,720,0.0
37,720,0.0
38,720,0.0
39,720,0.0
40,720,0.0
41,720,0.0
42,720,0.0
43,720,0.0
44,720,0.0
45,720,0.0
46,720,0.0
47,720,0.0
48,720,0.0
49,720,0.0
50,720,0.0
51,720,0.0
52,720,0.0
53,720,0.0
54,720,0.0
55,720,0.0
56,720,0.0
57,720,0.0
58,720,0.0
59,720,0.0
60,720,0.0
61,720,0.0
62,720,0.0
63,720,0.0
64,720,0.0
65,720,0.0
66,720,0.0
67,720,0.0
68,720,0.0
69,720,0.0
70,720,0.0
71,720,0.0
72,720,0.0
73,720,0.0
74,720,0.0
75,720,0.0
76,720,0.0
77,720,0.0
78,720,0.0
79,720,0.0
80,720,0.0
81,720,0.0
82,720,0.0
83,720,0.0
84,720,0.0
85,720,0.0
86,720,0.0
87,720,0.0
88,720,0.0
89,720,0.0
90,720,0.0
91,720,0.0
92,720,0.0
93,720,2.0
94,720,0.0
95,720,0.0
96,720,0.0
97,720,0.0
98,720,0.0
99,720,2.0
100,720,0.0
101,720,0.0
102,720,0.0
103,720,0.0
104,720,0.0
105,720,2.0
106,720,0.0
107,720,0.0
108,720,0.0
109,720,0.0
110,720,0.0
111,720,0.0
112,720,0.0
113,720,0.0
114,720,0.0
115,720,0.0
116,720,0.0
117,720,0.0
118,720,0.0
119,720,0.0
120,720,0.0
121,720,0.0
122,720,0.0
123,720,0.0
124,720,0.0
125,720,0.0
126,720,0.0
127,720,0.0
128,720,0.0
129,720,0.0
130,720,0.0
131,720,0.0
132,720,0.0
133,720,0.0
134,720,0.0
135,720,0.0
136,720,0.0
137,720,0.0
138,720,0.0
139,720,0.0
140,720,0.0
141,720,0.0
142,720,0.0
143,720,0.0
144,720,0.0
145,720,0.0
146,720,0.0
147,720,0.0
148,720,0.0
149,720,0.0
150,720,0.0
151,720,0.0
152,720,0.0
153,720,0.0
154,720,0.0
155,720,0.0
156,720,0.0
157,720,0.0
158,720,0.0
159,720,0.0
160,720,0.0
161,720,0.0
162,720,0.0
163,720,0.0
164,720,0.0
165,720,0.0
166,720,0.0
167,720,0.0
168,720,0.0
169,720,0.0
170,720,0.0
171,720,0.0
172,720,0.0
173,720,0.0
174,720,0.0
175,720,0.0
176,720,0.0
177,720,0.0
178,720,0.0
179,720,0.0
180,720,0.0
181,720,0.0
182,720,0.0
183,720,0.0
184,720,0.0
185,720,0.0
186,720,0.0
187,720,0.0
188,720,0.0
189,720,0.0
190,720,0.0
191,720,0.0
192,720,0.0
193,720,0.0
194,720,0.0
195,720,0.0
196,720,0.0
197,720,0.0
198,720,0.0
199,720,0.0
200,720,0.0
201,720,0.0
202,720,0.0
203,720,0.0
204,720,0.0
205,720,0.0
206,720,0.0
207,720,0.0
208,720,0.0
209,720,0.0
210,720,0.0
211,720,0.0
212,720,0.0
213,720,0.0
214,720,0.0
215,720,0.0
216,720,0.0
217,720,0.0
218,720,0.0
219,720,0.0
220,720,0.0
221,720,0.0
222,720,0.0
223,720,0.0
224,720,0.0
225,720,0.0
226,720,0.0
227,720,0.0
228,720,0.0
229,720,0.0
230,720,0.0
231,720,0.0
232,720,0.0
233,720,0.0
234,720,0.0
235,720,0.0
236,720,0.0
237,720,0.0
238,720,0.0
239,720,0.0
240,720,0.0
241,720,0.0
242,720,0.0
243,720,0.0
244,720,0.0
245,720,0.0
246,720,0.0
247,720,0.0
248,720,0.0
249,720,0.0
250,720,0.0
251,720,0.0
252,720,0.0
253,720,0.0
254,720,0.0
255,720,0.0
256,720,0.0
257,720,0.0
258,720,0.0
259,720,0.0
260,720,0.0
